Player,"Player_ID","Player_Link","Player_Link_All"
vo0kashu,3741,"https://www.vlr.gg/player/3741/vo0kashu/?timespan=90d","https://www.vlr.gg/player/3741/vo0kashu/?timespan=all"
Shion7,41774,"https://www.vlr.gg/player/41774/shion7/?timespan=90d","https://www.vlr.gg/player/41774/shion7/?timespan=all"
Nicc,11524,"https://www.vlr.gg/player/11524/nicc/?timespan=90d","https://www.vlr.gg/player/11524/nicc/?timespan=all"
TvirusLuke,7841,"https://www.vlr.gg/player/7841/tvirusluke/?timespan=90d","https://www.vlr.gg/player/7841/tvirusluke/?timespan=all"
SpiritZ1,31753,"https://www.vlr.gg/player/31753/spiritz1/?timespan=90d","https://www.vlr.gg/player/31753/spiritz1/?timespan=all"
nizhaoTZH,4880,"https://www.vlr.gg/player/4880/nizhaotzh/?timespan=90d","https://www.vlr.gg/player/4880/nizhaotzh/?timespan=all"
o0o0o,4402,"https://www.vlr.gg/player/4402/o0o0o/?timespan=90d","https://www.vlr.gg/player/4402/o0o0o/?timespan=all"
SWERL,1209,"https://www.vlr.gg/player/1209/swerl/?timespan=90d","https://www.vlr.gg/player/1209/swerl/?timespan=all"
CB,39697,"https://www.vlr.gg/player/39697/cb/?timespan=90d","https://www.vlr.gg/player/39697/cb/?timespan=all"
Ezeir,46460,"https://www.vlr.gg/player/46460/ezeir/?timespan=90d","https://www.vlr.gg/player/46460/ezeir/?timespan=all"
GuanG,41054,"https://www.vlr.gg/player/41054/guang/?timespan=90d","https://www.vlr.gg/player/41054/guang/?timespan=all"
OBONE,36670,"https://www.vlr.gg/player/36670/obone/?timespan=90d","https://www.vlr.gg/player/36670/obone/?timespan=all"
TAPHTAPH,35967,"https://www.vlr.gg/player/35967/taphtaph/?timespan=90d","https://www.vlr.gg/player/35967/taphtaph/?timespan=all"
jaso,27199,"https://www.vlr.gg/player/27199/jaso/?timespan=90d","https://www.vlr.gg/player/27199/jaso/?timespan=all"
Kael,14967,"https://www.vlr.gg/player/14967/kael/?timespan=90d","https://www.vlr.gg/player/14967/kael/?timespan=all"
Narpim,7727,"https://www.vlr.gg/player/7727/narpim/?timespan=90d","https://www.vlr.gg/player/7727/narpim/?timespan=all"
diky,40892,"https://www.vlr.gg/player/40892/diky/?timespan=90d","https://www.vlr.gg/player/40892/diky/?timespan=all"
rinA,40903,"https://www.vlr.gg/player/40903/rina/?timespan=90d","https://www.vlr.gg/player/40903/rina/?timespan=all"
decoy,40889,"https://www.vlr.gg/player/40889/decoy/?timespan=90d","https://www.vlr.gg/player/40889/decoy/?timespan=all"
anotherrr,40895,"https://www.vlr.gg/player/40895/anotherrr/?timespan=90d","https://www.vlr.gg/player/40895/anotherrr/?timespan=all"
starrz,44946,"https://www.vlr.gg/player/44946/starrz/?timespan=90d","https://www.vlr.gg/player/44946/starrz/?timespan=all"
