Player,Team,Player_Strength
16Ch0ps,Original Gaming,83.29
waleed,Onyx Ravens,83.24
Shu,TUMT Shark,83.16
zMART,Onyx Ravens,83.15
Lafura,BLUE BEES.ESP,83.0
Louboutin,LAZY,82.93
ACHRF,Onyx Ravens,82.9
K1LLERS,Team Flash,82.75
Sinaway,Next Gen,82.32
socools0da,Team NKT Academy,82.19
Fixy,Xipto Esports,82.14
g4ll,Delight,82.04
wedid,Turtle Troop,81.98
str1keR,Al-Qadsiah Esports,81.95
Click,Gentle Mates,81.6
NOVAE,Rub n' Pug,81.52
v1nny,LOUD,81.52
Sand,The Ultimates,81.45
BMV,LAZY,81.38
AcZy,Exsto Gaming,81.34
Allen,BC SWELL,81.31
heybay,Trace Esports,81.25
RIPablo,IGZIST,81.18
FireBallOps,Nightblood Gaming,81.12
benjii,SaD Esports,81.07
Kaoticcc,Turtle Troop,81.02
Yamada,IGZIST,80.96
Jinbey,BC SWELL,80.87
raafa,FURIA,80.85
monSi,Trust In Plug,80.81
IKANA,JiJieHao,80.77
Rossi,Exsto Gaming,80.72
Luca,Delight,80.58
rushia,Bilibili Gaming,80.54
Mundy,club penguin,80.29
Frxeez,IGZIST,80.09
ArPoom,Team NKT Academy,80.05
sakura,BC SWELL,80.02
Hansia,Original Gaming,79.91
Elixllo,Al-Qadsiah Esports,79.84
Jerry,BC SWELL,79.5
Winteryrook,Al-Qadsiah Esports,79.42
aplycs,Reckoning Esports,79.36
Fighter,The Ultimates,79.36
KeA,Unicorn Cyber Da Nang,79.29
ZYND,ZOL Esports,79.27
nTK,Team Big BAAM,79.1
ValdyN,Alter Ego,78.94
Monokuma,Randoms,78.88
fusion,club penguin,78.83
wodz,club penguin,78.67
BigE,Next Gen,78.62
markL,Xipto Esports,78.48
Whimp,MiBH,78.48
Mihlog,Team Flash,78.4
Spirit,BITEKI,78.4
ScoPe,REVE RISE MAX,78.08
HUYNH,Fisher Navy,77.93
Cud,Alter Ego,77.82
Logan,QoR,77.69
Recoil,TSM,77.64
Zan,BLUE BEES.ESP,77.48
SplatGun,BITEKI,77.22
Kohliii,Level 5,76.44
sogo,Fisher Navy,75.99
LilHieu,Team Big BAAM,75.87
acrian,Ambrosia,75.64
ray4c,Alter Ego,75.31
Jiggy,BITEKI,75.23
niki,esports team αD,75.18
Zauqk,Next Gen,75.07
R1va,Delight,74.75
ScrewFace,Ambrosia,74.73
Flowy,Al-Qadsiah Esports,74.64
Vickyz,Team NKT Academy,74.63
bobae,Original Gaming,74.56
Chay,Delight,74.06
LewN,BBL Esports,73.88
e9Lair,BLUE BEES.ESP,73.7
Cangshu,Dragon Ranger Gaming,73.6
Kuro,Original Gaming,73.35
Rayy,DRAGONS,73.25
Mojo,Reckoning Esports,72.73
AlMtRoOo3,Onyx Ravens,72.45
Jerrwin,Trust In Plug,72.43
Spartabang,Exsto Gaming,71.87
Jacyn,BITEKI,71.75
Kakashiii,Randoms,71.72
sHOW,BITEKI,71.59
saxx,Original Gaming,71.11
sommboiii,Exsto Gaming,71.0
B1ack,Titan Esports Club,70.78
rezy,Al-Qadsiah Esports,69.61
furbsa,SaD Esports,69.17
Kuro,Onyx Ravens,69.14
Astin,Randoms,68.18
Kyu,Ambrosia,67.88
iNaz,DRAGONS,67.69
Kyun,Exsto Gaming,67.22
Darwin,DRAGONS,67.0
YuRelly,esports team αD,65.61
Mythical,Randoms,65.37
florescent,Apeks,65.07
Akashi,LAZY,65.0
oj,club penguin,64.65
pyua,BarackObamaPizza,63.93
popoman4Q,TUMT Shark,61.96
Planko,Randoms,59.99
suzu,ZETA DIVISION GC,50.02
Kohaibi,Paper Rex x Spotlight Series,49.96
Noia,Shopify Rebellion,47.3
k0rupt,Funhavers,47.24
maryna,Fisher Fruit,46.9
Yusin,Ambitious Legend Gaming GC,46.63
unstable,Passion Project,45.14
lazylion,Passion Project,45.08
meL,Shopify Rebellion,44.63
sarahcat,Shopify Rebellion,42.97
bunnybee,Fisher Fruit,42.75
Petra,G2 Gozen,42.24
Alexy,Xipto Esports GC,41.71
biazik,KRÜ BLAZE,41.63
Kamiyu,Xipto Esports GC,41.04
srN,MIBR GC,40.93
TeddyIsFluffy,mesos millionaires,40.4
madv,Team Falcons Vega,40.16
alexis,Shopify Rebellion,40.12
dodonut,FlyQuest RED,39.89
karie,oomfies,39.5
Jelly,MIBR GC,39.43
rise,zZz,38.58
dods,KRÜ BLAZE,38.51
WIRE,Elation Vortex,38.19
conir,KRÜ BLAZE,37.58
Mary,Team Falcons Vega,37.38
Kazler,Refrag,36.28
Vania,G2 Gozen,36.22
SUPERKAT,oomfies,35.52
Muffyn,Ambitious Legend Gaming GC,35.5
Joliinaa,GIANTX GC,35.36
avery,oomfies,35.33
melya,Fisher Fruit,35.11
Nora,YFP X,35.05
micaela,KRÜ BLAZE,35.02
Moco,ZETA DIVISION GC,34.74
panday,oomfies,34.65
eva,Team Falcons Vega,34.61
rezq,G2 Gozen,34.58
terror,Endear Esports,34.58
romily,KRÜ BLAZE,34.28
mimi,G2 Gozen,34.1
sarah,GIANTX GC,34.07
ness,GIANTX GC,34.02
enerii,Xipto Esports GC,33.96
Raven,Teddy Tactics,33.94
mili,Refrag,33.9
aria,Teddy Tactics,33.81
Smurfette,GIANTX GC,33.6
StarBound,FlyQuest RED,33.55
marceline,YFP X,33.48
calsushi,Teddy Tactics,33.35
UR,ZETA DIVISION GC,32.72
YOME,DRX Changers,32.63
Slandy,mesos millionaires,32.61
sonder,FlyQuest RED,32.24
amy,G2 Gozen,31.38
evv,FlyQuest RED,31.1
Sandra,Team Falcons Vega,30.93
Mel,MIBR GC,30.76
Elab0rate,YFP X,30.71
Toki,Team Falcons Vega,30.69
sayuri,MIBR GC,30.66
Ache,DRX Changers,30.53
Miyori,HEROIC Valkyries,29.98
JinNy,Ambitious Legend Gaming GC,29.8
venus,Teddy Tactics,29.37
aurelia,Elation Vortex,29.24
SereNa,ZETA DIVISION GC,29.14
habibti,mesos millionaires,29.09
theia,FlyQuest RED,28.05
riv,Refrag,27.93
oranges,Teddy Tactics,27.48
jubs,MIBR GC,27.46
Tara,Paper Rex x Spotlight Series,27.22
aco,ZETA DIVISION GC,26.86
Celeste,Infinity X,26.45
Aniemal,mesos millionaires,25.99
Hyungwonho,Elation Vortex,24.67
Gia,Elation Vortex,24.55
Urango,Galorys,0.0
RgLMeister,Galorys,0.0
sw,THE 7,0.0
tkzin,THE 7,0.0
shion,THE 7,0.0
Pure,101 Outlaws,0.0
Fivm,nobody in Paris,0.0
