Player,Team,Rating,ACS,KD,ADR,KAST,KPR,APR,FKPR,FDPR,Total_Rounds_Played,url,tier_m,region_m,opponents
Ghetto,Harmony,0.92,172.044,0.856,114.34,0.687,0.625,0.416,0.097,0.097,103.0,https://www.vlr.gg/player/49169/ghetto?timespan=90d,0.65,0.65,
Snark,Fractal Gaming,1.027,198.682,1.005,128.601,0.721,0.722,0.196,0.1,0.17,83.0,https://www.vlr.gg/player/37588/snark?timespan=90d,0.65,0.65,
Kamiyu,Team Falcons Vega,0.991,198.603,0.936,133.484,0.676,0.68,0.367,0.053,0.07,229.0,https://www.vlr.gg/player/18093/kamiyu?timespan=90d,0.547,0.956,
Blastz,PANCADAO,0.956,179.579,0.878,114.7,0.709,0.591,0.423,0.072,0.079,152.0,https://www.vlr.gg/player/32693/blastz?timespan=90d,0.847,0.9,
Smez,Runaway,0.53,150.5,0.56,105.7,0.63,0.5,0.13,0.1,0.2,30.0,https://www.vlr.gg/player/21521/smez?timespan=90d,0.65,0.65,
Kyuanyami,esports team αD,0.87,168.3,0.85,109.1,0.67,0.59,0.36,0.05,0.03,138.0,https://www.vlr.gg/player/49238/kyuanyami?timespan=90d,0.92,0.84,
Migod,Blue Eyes White Dragon,0.947,213.668,0.938,140.488,0.673,0.719,0.261,0.149,0.169,948.0,https://www.vlr.gg/player/48697/migod?timespan=90d,0.65,0.65,
JKG,ZETA Gaming,0.92,159.953,0.826,109.776,0.753,0.563,0.405,0.059,0.084,172.0,https://www.vlr.gg/player/28479/jkg?timespan=90d,0.92,0.752,
V1yA,Wolves Esports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.vlr.gg/player/45104/v1ya?timespan=90d,1.0,0.97,
ahk,BITEKI,0.67,124.5,0.635,82.75,0.7,0.425,0.425,0.125,0.15,40.0,https://www.vlr.gg/player/49563/ahk?timespan=90d,0.65,0.65,
aksh,TBS Academy,0.987,245.514,0.987,150.114,0.599,0.773,0.115,0.23,0.141,35.0,https://www.vlr.gg/player/42966/aksh?timespan=90d,0.75,0.9,
Huntr,club penguin,1.006,183.0,1.031,113.318,0.705,0.729,0.387,0.044,0.158,44.0,https://www.vlr.gg/player/15961/huntr?timespan=90d,0.65,0.65,
Zetik,club penguin,0.965,173.364,0.804,110.609,0.684,0.592,0.409,0.067,0.0,44.0,https://www.vlr.gg/player/14348/zetik?timespan=90d,0.65,0.65,
dods,KRÜ BLAZE,1.086,248.345,1.164,160.542,0.697,0.864,0.223,0.227,0.222,223.0,https://www.vlr.gg/player/25663/dods?timespan=90d,0.5,0.899,
conir,KRÜ BLAZE,1.033,191.076,1.061,127.339,0.761,0.66,0.409,0.071,0.061,223.0,https://www.vlr.gg/player/11259/conir?timespan=90d,0.576,0.89,
micaela,KRÜ BLAZE,1.103,202.358,1.141,127.082,0.755,0.747,0.433,0.074,0.056,223.0,https://www.vlr.gg/player/21558/micaela?timespan=90d,0.5,0.931,
biazik,KRÜ BLAZE,1.089,200.305,1.048,138.03,0.753,0.652,0.391,0.107,0.07,223.0,https://www.vlr.gg/player/11235/biazik?timespan=90d,0.518,0.916,
