name,team,url,url_90d
Flashback,DRX,https://www.vlr.gg/player/35013/flashback?timespan=all,https://www.vlr.gg/player/35013/flashback?timespan=all/?timespan=90d
MaKo,DRX,https://www.vlr.gg/player/4462/mako?timespan=all,https://www.vlr.gg/player/4462/mako?timespan=all/?timespan=90d
Athan,DRX,https://www.vlr.gg/player/34982/athan?timespan=all,https://www.vlr.gg/player/34982/athan?timespan=all/?timespan=90d
freeing,DRX,https://www.vlr.gg/player/1916/freeing?timespan=all,https://www.vlr.gg/player/1916/freeing?timespan=all/?timespan=90d
HYUNMIN,DRX,https://www.vlr.gg/player/28400/hyunmin?timespan=all,https://www.vlr.gg/player/28400/hyunmin?timespan=all/?timespan=90d
glow,DRX,https://www.vlr.gg/player/775/termi?timespan=all,https://www.vlr.gg/player/775/termi?timespan=all/?timespan=90d
Argency,DRX,https://www.vlr.gg/player/770/glow?timespan=all,https://www.vlr.gg/player/770/glow?timespan=all/?timespan=90d
Rem,BC SWELL,https://www.vlr.gg/player/17083/rem?timespan=all,https://www.vlr.gg/player/17083/rem?timespan=all/?timespan=90d
Allen,BC SWELL,https://www.vlr.gg/player/17111/allen?timespan=all,https://www.vlr.gg/player/17111/allen?timespan=all/?timespan=90d
Jan,BC SWELL,https://www.vlr.gg/player/10642/jan?timespan=all,https://www.vlr.gg/player/10642/jan?timespan=all/?timespan=90d
sakura,BC SWELL,https://www.vlr.gg/player/25279/sakura?timespan=all,https://www.vlr.gg/player/25279/sakura?timespan=all/?timespan=90d
Jerry,BC SWELL,https://www.vlr.gg/player/46355/jerry?timespan=all,https://www.vlr.gg/player/46355/jerry?timespan=all/?timespan=90d
Jinbey,BC SWELL,https://www.vlr.gg/player/43072/jinbey?timespan=all,https://www.vlr.gg/player/43072/jinbey?timespan=all/?timespan=90d
UR,ZETA DIVISION GC,https://www.vlr.gg/player/39902/ur?timespan=all,https://www.vlr.gg/player/39902/ur?timespan=all/?timespan=90d
SereNa,ZETA DIVISION GC,https://www.vlr.gg/player/39904/serena?timespan=all,https://www.vlr.gg/player/39904/serena?timespan=all/?timespan=90d
Moco,ZETA DIVISION GC,https://www.vlr.gg/player/29314/moco?timespan=all,https://www.vlr.gg/player/29314/moco?timespan=all/?timespan=90d
aco,ZETA DIVISION GC,https://www.vlr.gg/player/29316/aco?timespan=all,https://www.vlr.gg/player/29316/aco?timespan=all/?timespan=90d
suzu,ZETA DIVISION GC,https://www.vlr.gg/player/10653/suzu?timespan=all,https://www.vlr.gg/player/10653/suzu?timespan=all/?timespan=90d
nobody,EDward Gaming,https://www.vlr.gg/player/3017/nobody?timespan=all,https://www.vlr.gg/player/3017/nobody?timespan=all/?timespan=90d
S1Mon,EDward Gaming,https://www.vlr.gg/player/13768/s1mon?timespan=all,https://www.vlr.gg/player/13768/s1mon?timespan=all/?timespan=90d
ZmjjKK,EDward Gaming,https://www.vlr.gg/player/3520/zmjjkk?timespan=all,https://www.vlr.gg/player/3520/zmjjkk?timespan=all/?timespan=90d
CHICHOO,EDward Gaming,https://www.vlr.gg/player/15559/chichoo?timespan=all,https://www.vlr.gg/player/15559/chichoo?timespan=all/?timespan=90d
Smoggy,EDward Gaming,https://www.vlr.gg/player/4742/smoggy?timespan=all,https://www.vlr.gg/player/4742/smoggy?timespan=all/?timespan=90d
WoodAy1,EDward Gaming,https://www.vlr.gg/player/46496/wooday1?timespan=all,https://www.vlr.gg/player/46496/wooday1?timespan=all/?timespan=90d
Aqua,EDward Gaming,https://www.vlr.gg/player/38828/aqua?timespan=all,https://www.vlr.gg/player/38828/aqua?timespan=all/?timespan=90d
Century,EDward Gaming,https://www.vlr.gg/player/29401/muggle?timespan=all,https://www.vlr.gg/player/29401/muggle?timespan=all/?timespan=90d
JuiceFlip,EDward Gaming,https://www.vlr.gg/player/48859/century?timespan=all,https://www.vlr.gg/player/48859/century?timespan=all/?timespan=90d
Lightningfast,Level 5,https://www.vlr.gg/player/3626/lightningfast?timespan=all,https://www.vlr.gg/player/3626/lightningfast?timespan=all/?timespan=90d
tricky,Level 5,https://www.vlr.gg/player/28612/tricky?timespan=all,https://www.vlr.gg/player/28612/tricky?timespan=all/?timespan=90d
