Player,Team,Player_Strength,Total_Rounds_Played
MarT1n,Xi Lai Gaming,-21.41,0.0
K1ra,All Gamers,-21.41,0.0
X3B,All Gamers,-21.41,0.0
MrCANI,Xi Lai Gaming,-21.41,0.0
YOU,Xi Lai Gaming,-21.41,0.0
ZmjjKK,EDward Gaming,-21.41,0.0
Smoggy,EDward Gaming,-21.41,0.0
SWERL,Nova Esports,-21.41,0.0
Abo,Titan Esports Club,-21.41,0.0
Rb,Titan Esports Club,-21.41,0.0
B1ack,Titan Esports Club,-21.41,0.0
TvirusLuke,Dragon Ranger Gaming,-21.41,0.0
Nicc,Dragon Ranger Gaming,-21.41,0.0
GuanG,Nova Esports,-21.41,0.0
vo0kashu,Dragon Ranger Gaming,-21.41,0.0
AC,Titan Esports Club,-21.41,0.0
Haodong,Titan Esports Club,-21.41,0.0
Shion7,Dragon Ranger Gaming,-21.41,0.0
SpiritZ1,Dragon Ranger Gaming,-21.41,0.0
punda,JiJieHao,,200.0
Vickyz,Team NKT Academy,,85.0
D4rf,Team NKT Academy,,85.0
LoRangeZ,Team NKT Academy,,85.0
Jovi,FlyQuest RED,,240.0
