Player,Team,Player_Strength,Total_Rounds_Played
eva,Team Falcons Vega,85.46,5579.0
chloric,Maryville University,85.46,13156.0
Serial,HGE Esport,85.44,3097.0
XXiF,TSM,85.44,12505.0
d3mur,ZETA Gaming,85.43,1630.0
Famsii,HGE Esport,85.42,4283.0
JA,KIMMY KITTENS,85.4,8158.0
Logan,QoR,85.37,16980.0
Kaoticcc,Turtle Troop,85.35,12530.0
Lime,MOUZ,85.34,7121.0
Ali,Winthrop University,85.3,13434.0
stonezy,Dudes,85.24,2116.0
furbsa,SaD Esports,85.24,15648.0
Winteryrook,Al-Qadsiah Esports,85.21,11703.0
laser,NXT,85.21,877.0
Bob,Blue Otter,85.17,16474.0
姊姊好壞我好愛,姊姊壞了我好愛,85.17,96.0
TRMIS,SSalama,85.15,362.0
Polvi,UCAM Esports Club,85.15,9110.0
Fin,APAY Academy,85.13,540.0
cortezia,MIBR,85.11,5638.0
Fit1nho,Barça eSports,85.1,8882.0
karie,oomfies,85.08,6454.0
SWERL,Nova Esports,85.06,8990.0
xavi8k,DLSU Viridis Arcus,85.03,6406.0
Toast,TUMT Shark,85.02,409.0
bootisz,Atlanta Esports,85.01,621.0
shooterR,Cumberland Phoenix,84.98,8675.0
Dheny,wombat123,84.97,256.0
Mephisto,Six Karma,84.96,1454.0
Kushy,Rex Regum Qeon,84.92,6956.0
Autumn,FunPlus Phoenix,84.89,8129.0
wayne,KIMMY KITTENS,84.89,3598.0
mikeE,Trust In Plug,84.88,9352.0
heat,FURIA,84.86,6230.0
K4DAVRA,Gentle Mates,84.85,7146.0
v1c,Cloud9,84.84,12184.0
nabil,Landor,84.84,8130.0
aNguiSt,Metizport,84.84,5767.0
jowa,Turtle Troop,84.8,10756.0
magic,Dexterity Gaming,84.74,2722.0
persona11,Rival Esports,84.73,915.0
marceline,YFP X,84.72,6852.0
KEN,CREST GAMING Zst,84.71,1363.0
sonder,FlyQuest RED,84.69,12115.0
Martux,Bitfix Gaming,84.66,4829.0
Australis,Wadadaa,84.64,7784.0
Sayf,Team Vitality,84.62,7753.0
fabiziN,MixPe,84.58,2041.0
ALEKSANDAR,QoR,84.53,12428.0
Meiy,DetonatioN FocusMe,84.5,5344.0
H1ber,HGE Esport,84.41,8516.0
Kr1stal,Global Esports,84.39,4938.0
Shu,TUMT Shark,84.37,542.0
rEplan,SAVU,84.36,7266.0
diseased,SweetNsour,84.29,3459.0
pluffy,GMBLERS Esports,84.27,504.0
Yzz,ROA Esport,84.27,19.0
velis,Torch,84.26,11889.0
ScrewFace,Ambrosia,84.25,17952.0
Dark3st,SaD Esports,84.24,24475.0
aduka,Todak,84.19,8498.0
bunnybee,Fisher Fruit,84.17,9877.0
Persia,Nongshim RedForce,84.16,3616.0
nightz,Cubert Academy,84.13,5805.0
Akame,nobody in Paris,84.12,500.0
Ruxic,Natus Vincere,84.1,5462.0
crazyguy,KIMMY KITTENS,84.09,6335.0
penny,YFP,84.09,8946.0
diky,IHC Esports,84.07,755.0
ghoul33,LEVIATÁN Academy,84.04,903.0
infiltrator,Winthrop University,84.04,9473.0
Asuna,100 Thieves,83.98,10586.0
mada,NRG Esports,83.92,11952.0
Wo0t,Team Heretics,83.91,5048.0
tixx,JiJieHao,83.91,4818.0
Bumble,Veterans,83.89,1170.0
Elab0rate,YFP X,83.85,3823.0
Ticey,Permitta Unicorns,83.83,3613.0
DisisJohn,Eintracht Frankfurt,83.81,6540.0
pLusiovski912,Point Gaming,83.8,97.0
Monyet,Rex Regum Qeon,83.8,5654.0
al0rante,FOKUS,83.79,7635.0
brawk,Shopify Rebellion Black,83.79,12569.0
airs,TOS Gaming,83.78,121.0
Palla,Stellae Gaming,83.77,2561.0
Zeravla,Daguestan,83.77,390.0
Katu,NOVO Esports,83.77,9034.0
Jesse,Joblife,83.76,8698.0
SicK,Sentinels,83.75,7377.0
nk4y,Axolotl,83.74,5654.0
snw,ShindeN,83.69,5859.0
Veqaj,Team Valiant,83.68,4308.0
Rem,BC SWELL,83.66,1282.0
shinnok,Metizport,83.65,2591.0
Czester,Szach Mat,83.63,2257.0
welyy,Blue Otter,83.63,14392.0
trent,G2 Esports,83.63,8224.0
BuZz,T1,83.62,8936.0
satellite,Ambrosia,83.61,11698.0
audaz,Digital Athletics,83.6,1399.0
gin,Rapid Lofi,83.59,6136.0
tungyao,Niflheimr,83.54,79.0
russ,ESC Gaming,83.54,7078.0
NoMan,ESC Gaming,83.52,2291.0
Chronicle,FNATIC,83.51,9465.0
PROFEK,BBL Esports,83.51,5359.0
Elite,Karmine Corp,83.49,5132.0
unstable,Passion Project,83.49,8630.0
DaGG3r,Lost Puppies,83.48,1185.0
Goaster,Team Valiant,83.47,7352.0
zery,Xperion NXT,83.43,5363.0
szoren,EXO Clan,83.43,4441.0
alexiiik,Zero Tenacity,83.42,5403.0
Xross,Nongshim RedForce,83.32,1804.0
taka,DELIRA,83.3,3157.0
Wildfire,Maryville University,83.29,7477.0
spike,2Game Esports,83.28,2400.0
BerserX,BOOM Esports,83.25,9806.0
XmA,VNU Esports,83.25,113.0
TakaS,DVM Esport,83.23,6595.0
