Player,Team,Rating,ACS,KD,ADR,KAST,KPR,APR,FKPR,FDPR,Total_Rounds_Played,url,tier_m,region_m
Maxxyy,First Round Out,1.007,192.703,0.997,129.64,0.723,0.662,0.288,0.076,0.084,1231.0,https://www.vlr.gg/player/3735/maxxyy?timespan=all,1.0,1.0
ESMONDE,First Round Out,1.01,179.239,0.982,118.727,0.743,0.626,0.389,0.053,0.062,2273.0,https://www.vlr.gg/player/27073/esmonde?timespan=all,0.955,0.825
Teddy,First Round Out,1.137,246.081,1.227,159.633,0.731,0.873,0.166,0.164,0.132,822.0,https://www.vlr.gg/player/21195/teddy?timespan=all,0.82,0.82
Mihlog,Team Flash,1.116,203.497,1.167,134.746,0.741,0.728,0.3,0.069,0.064,1949.0,https://www.vlr.gg/player/36180/mihlog?timespan=all,0.955,0.78
bucute,Team Flash,1.26,232.258,1.395,153.34,0.794,0.85,0.331,0.095,0.062,1096.0,https://www.vlr.gg/player/48575/bucute?timespan=all,0.955,0.789
K1LLERS,Team Flash,1.135,233.481,1.176,149.969,0.75,0.818,0.291,0.134,0.105,7534.0,https://www.vlr.gg/player/8036/k1llers?timespan=all,0.964,0.805
ting2k5,Team Flash,1.066,224.881,1.128,146.506,0.714,0.802,0.208,0.158,0.133,4634.0,https://www.vlr.gg/player/14213/ting2k5?timespan=all,0.957,0.793
alyaL,Team Flash,1.081,225.598,1.128,147.354,0.721,0.783,0.262,0.114,0.104,6363.0,https://www.vlr.gg/player/8240/alyal?timespan=all,0.957,0.79
d0rf,Team Flash,1.06,201.0,1.091,129.506,0.738,0.715,0.304,0.074,0.078,5691.0,https://www.vlr.gg/player/1429/d0rf?timespan=all,0.96,0.8
Pr1ck,Blue Eyes White Dragon,0.917,189.037,0.902,122.182,0.679,0.656,0.308,0.101,0.146,1021.0,https://www.vlr.gg/player/48695/pr1ck?timespan=all,0.82,0.82
Vuxqt,Blue Eyes White Dragon,0.968,194.14,0.922,128.972,0.718,0.676,0.393,0.083,0.079,1021.0,https://www.vlr.gg/player/48696/vuxqt?timespan=all,0.82,0.82
Migod,Blue Eyes White Dragon,0.945,211.571,0.93,139.345,0.675,0.711,0.266,0.144,0.166,987.0,https://www.vlr.gg/player/48697/migod?timespan=all,0.82,0.82
Storm,Blue Eyes White Dragon,1.189,233.007,1.251,153.918,0.711,0.831,0.171,0.084,0.068,1537.0,https://www.vlr.gg/player/26528/storm?timespan=all,0.82,0.82
KhoiBeo,Blue Eyes White Dragon,0.963,179.695,0.946,121.047,0.7,0.652,0.232,0.078,0.08,959.0,https://www.vlr.gg/player/49559/khoibeo?timespan=all,0.82,0.82
Hasagiii,Blue Eyes White Dragon,1.388,265.573,1.667,172.698,0.783,0.991,0.212,0.146,0.042,124.0,https://www.vlr.gg/player/49758/hasagiii?timespan=all,0.82,0.82
