Player,Team,Rating,ACS,KD,ADR,KAST,KPR,APR,FKPR,FDPR,Total_Rounds_Played,url,tier_m,region_m,opponents
tok1o,Fancy United Esports,0.832,153.424,0.76,97.802,0.703,0.545,0.392,0.091,0.104,297.0,https://www.vlr.gg/player/48573/tok1o?timespan=all,0.0,0.0,
dummy,Team Secret,0.832,161.671,0.805,101.114,0.633,0.565,0.285,0.072,0.09,226.0,https://www.vlr.gg/player/7357/dummy?timespan=all,0.0,0.0,
kammy,Falke Esports,0.592,108.408,0.486,75.349,0.554,0.369,0.204,0.0,0.042,49.0,https://www.vlr.gg/player/45900/kammy?timespan=all,0.0,0.0,
Bubbles,Unjustified,0.966,200.865,0.93,131.635,0.687,0.692,0.28,0.095,0.087,3982.0,https://www.vlr.gg/player/26229/bubbles?timespan=all,0.0,0.0,
Wen,F5 Esports,0.794,166.054,0.758,110.171,0.651,0.587,0.258,0.069,0.129,1846.0,https://www.vlr.gg/player/26880/wen?timespan=all,0.0,0.0,
Citrus,F5 Esports,0.87,162.152,0.815,103.307,0.697,0.551,0.325,0.046,0.072,297.0,https://www.vlr.gg/player/13753/citrus?timespan=all,0.0,0.0,
Avxrsive,F5 Esports,0.894,203.337,0.905,129.749,0.656,0.695,0.221,0.14,0.161,797.0,https://www.vlr.gg/player/3714/avxrsive?timespan=all,0.0,0.0,
aikz,Unjustified,0.871,177.806,0.789,116.763,0.672,0.594,0.388,0.064,0.096,1170.0,https://www.vlr.gg/player/14982/aikz?timespan=all,0.0,0.0,
Corsa,Solana,1.057,219.224,1.071,145.656,0.73,0.762,0.27,0.114,0.109,1078.0,https://www.vlr.gg/player/45836/corsa?timespan=all,0.0,0.0,
colby,Wadadaa,1.034,204.409,1.093,131.219,0.731,0.737,0.321,0.092,0.076,1502.0,https://www.vlr.gg/player/44607/colby?timespan=all,0.0,0.0,
jasmin,Wadadaa,1.044,198.766,0.97,132.059,0.698,0.692,0.383,0.076,0.093,335.0,https://www.vlr.gg/player/39766/jasmin?timespan=all,0.0,0.0,
wezzy,Digital Athletics,0.994,228.732,1.051,149.395,0.688,0.803,0.174,0.158,0.151,1486.0,https://www.vlr.gg/player/39351/wezzy?timespan=all,0.955,0.865,"['DRX Academy', 'Gen.G Global Academy', 'FEARX', 'fOu Clan', 'Team IAM', 'URACHACHA', 'SLT Seongnam', 'GAME PT', 'Team IAM', 'Nuclear', 'Sin Prisa Gaming', '골판지 전사', '골판지 전사', 'Our Name Is', 'HYDROGEN']"
hAwksinho,Coalesce,1.012,219.348,1.046,139.821,0.71,0.774,0.267,0.162,0.155,1389.0,https://www.vlr.gg/player/40697/hawksinho?timespan=all,0.85,0.85,
E13,Chivas Esports,0.925,181.478,0.9,124.931,0.691,0.614,0.306,0.058,0.09,387.0,https://www.vlr.gg/player/48551/e13?timespan=all,0.85,0.85,
TWEEZY,wombat123,0.754,130.144,0.666,85.555,0.665,0.473,0.288,0.044,0.057,142.0,https://www.vlr.gg/player/50287/tweezy?timespan=all,0.85,0.85,
Dheny,wombat123,1.139,233.452,1.14,149.689,0.788,0.806,0.322,0.062,0.056,256.0,https://www.vlr.gg/player/46517/dheny?timespan=all,0.85,0.85,
narky poo,wombat123,1.138,229.906,1.1,149.762,0.741,0.831,0.165,0.139,0.166,142.0,https://www.vlr.gg/player/50288/narky-poo?timespan=all,0.85,0.85,
DaGG3r,Lost Puppies,1.151,213.109,1.194,142.025,0.727,0.769,0.304,0.089,0.061,1185.0,https://www.vlr.gg/player/29553/dagg3r?timespan=all,0.85,0.85,
Bon,Aspyre x Swarm,1.013,189.806,1.003,126.79,0.717,0.68,0.298,0.056,0.049,2999.0,https://www.vlr.gg/player/24587/bon?timespan=all,0.85,0.85,
restro,Purpose Gaming,0.88,179.71,0.849,118.052,0.683,0.635,0.351,0.078,0.099,940.0,https://www.vlr.gg/player/33693/restro?timespan=all,0.85,0.85,
apu,Retiraos,1.018,240.406,1.12,160.654,0.702,0.819,0.248,0.153,0.14,101.0,https://www.vlr.gg/player/50450/apu?timespan=all,0.3,0.85,"['Kaos Latin Gamers', 'Nottingham Miedo', 'Dolphins Gaming', 'MixPe', 'bloodS', 'Zen eSports GC', 'Border Monsters Chile', 'XSOUL', 'Ñolaños FA']"
RJM,SSalama,1.17,264.272,1.76,167.966,0.754,0.914,0.179,0.227,0.139,322.0,https://www.vlr.gg/player/48243/rjm?timespan=all,0.85,0.85,
Tykki,SSalama,1.044,206.353,1.133,136.923,0.721,0.728,0.255,0.082,0.067,262.0,https://www.vlr.gg/player/48244/tykki?timespan=all,0.85,0.85,
komi,Winthrop University,0.996,193.523,0.973,128.89,0.73,0.658,0.332,0.076,0.077,837.0,https://www.vlr.gg/player/33371/komi?timespan=all,0.85,0.85,
silenx,Winthrop University,1.023,204.966,1.065,134.466,0.721,0.725,0.27,0.094,0.09,13873.0,https://www.vlr.gg/player/2118/silenx?timespan=all,0.85,0.85,
Morphiius,Axolotl,0.885,192.186,0.885,127.002,0.707,0.669,0.31,0.124,0.126,1311.0,https://www.vlr.gg/player/31114/morphiius?timespan=all,0.85,0.85,
xad,Axolotl,1.037,215.052,1.024,143.694,0.714,0.735,0.334,0.088,0.089,1570.0,https://www.vlr.gg/player/28841/xad?timespan=all,0.85,0.85,
Braso,Axolotl,1.044,213.114,1.067,141.097,0.695,0.763,0.18,0.098,0.101,1963.0,https://www.vlr.gg/player/10375/braso?timespan=all,0.85,0.85,
Mickebwoy,Axolotl,1.13,207.321,1.138,135.264,0.754,0.725,0.356,0.065,0.052,5766.0,https://www.vlr.gg/player/1514/mickebwoy?timespan=all,0.85,0.85,
g I L,NOM Esports,0.781,147.741,0.662,89.988,0.709,0.507,0.555,0.045,0.108,85.0,https://www.vlr.gg/player/29006/g-i-l?timespan=all,0.85,0.85,
Elysium,NOM Esports,0.997,187.931,0.999,121.204,0.717,0.674,0.341,0.076,0.072,4804.0,https://www.vlr.gg/player/11127/elysium?timespan=all,0.85,0.85,
nightmareK,NOM Esports,0.955,177.129,0.932,109.944,0.706,0.637,0.3,0.068,0.052,800.0,https://www.vlr.gg/player/7182/nightmarek?timespan=all,0.85,0.85,
bao,Trust In Plug,1.119,216.405,1.175,142.177,0.744,0.78,0.302,0.083,0.069,5023.0,https://www.vlr.gg/player/41877/bao?timespan=all,0.906,0.935,"['TSM', 'YFP', 'Hakikimori', 'Pigeons', '5 Cows', 'LARGE AND IN CHARGE', 'BANGBANG', 'TSM', '100 Thieves', 'Blue Otter', 'ROSE', 'Blue Otter', 'Ambrosia', 'Lemonade Stand', 'Cumberland Phoenix', 'Escape', 'Team Digital', 'RANKERS', 'Esoteric Kings', 'ff@5', 'HippoStrikesAgain', 'CSP Val Purple', 'Rock Bottom', 'SaD Esports', 'CCG Esports', 'Endear Esports', 'washed', 'Fisher Tea Party', 'Team Digital', 'virginia', 'Double Chunk Chocolate Cookie', 'Sheridan Bruins', 'Fentinels', 'The Blockade ', 'Shifty505', 'XD Gaming', 'Gekko', 'matts homeless shelter', 'Centrix Esports', 'NJIT Highlanders Red', 'washed', 'SEN Shahzam', 'Erinite Esports', 'Elation Esports', 'Tempers', 'Raven Esports', 'Michigan State University', 'SaD Esports', 'Koufs Fun Club', ""add3r's kittens"", 'hunter505', 'Ivy League Dropouts', 'Cuddle Gang', '4Gods1Bum', 'Bosnian Bullets', 'Furious Five', 'OREGON HACK', 'Burger Boyz 2.0', 'Nightblood Gaming', 'Last Resistance', 'Forsaken Shadows', 'Raven Esports', 'Malevolent Kitchen', 'OREGON HACK', 'Burger Boyz 2.0', 'EarnYourMedal ', 'OverLoaded', 'Dolbaebi', 'The Gnomes', 'Good Career', 'Winthrop University', 'Ambrosia', 'Dough Bros', 'Friends Over Everything', 'Resonate', 'special grade', 'Screags n Co', 'Ambrosia', 'OREGON HACK', 'Prospects', 'ruh roh ', 'Breadwinners', 'Sizzle', 'RyZ Knights', 'Prospects', 'SaD Purple', 'Passion Project', 'Koala Pound', 'SaD Purple', 'Demigods @ UCSD', 'Dogo Fanclub', 'Hybrid Authority', 'RyZe Esports ', 'Flaming Dragons', 'Goth Girl Sanctuary', 'Hyperion Gold ', 'Burger Boyz', 'LAG Yellow', 'SRVR Red', ""Veer's Kittens"", 'overcook', 'Event Horizon', 'MFC', 'Neo', 'Final Form Entertainment', 'Manic Esport ', 'Arkangel Esports', 'Van Lyn ', 'Dead Orbit', 'Team Virtuosity', 'Dead Orbit', 'Ambrosia', 'WTP']"
Cross,Retiraos,0.884,163.972,0.858,105.436,0.713,0.586,0.379,0.034,0.071,368.0,https://www.vlr.gg/player/50449/cross?timespan=all,0.82,0.82,[]
akame,Seulgi Fanclub,0.796,188.296,0.749,120.867,0.627,0.639,0.172,0.098,0.119,209.0,https://www.vlr.gg/player/47623/akame?timespan=all,0.82,0.82,[]
Migod,Blue Eyes White Dragon,0.945,211.571,0.93,139.345,0.675,0.711,0.266,0.144,0.166,987.0,https://www.vlr.gg/player/48697/migod?timespan=all,0.82,0.82,[]
GUGLi,Cloud9,0.65,168.0,0.82,108.5,0.54,0.61,0.14,0.13,0.08,87.0,https://www.vlr.gg/player/6042/gugli?timespan=all,0.7,0.7,
jEEE,ZOL Esports,0.976,192.226,0.953,128.076,0.723,0.668,0.349,0.074,0.086,4130.0,https://www.vlr.gg/player/21677/jeee?timespan=all,0.7,0.7,
Ketzai,Unicorn Cyber Da Nang,0.808,180.6,0.817,116.951,0.641,0.608,0.243,0.1,0.142,672.0,https://www.vlr.gg/player/49584/ketzai?timespan=all,0.7,0.7,
QuinT,Unicorn Cyber Da Nang,0.98,169.645,0.898,117.429,0.703,0.607,0.397,0.044,0.059,707.0,https://www.vlr.gg/player/49565/quint?timespan=all,0.7,0.7,
X1nh,Unicorn Cyber Da Nang,0.935,215.004,0.946,139.393,0.665,0.75,0.225,0.16,0.157,707.0,https://www.vlr.gg/player/49566/x1nh?timespan=all,0.7,0.7,
prettyMy,Unicorn Cyber Da Nang,0.842,175.714,0.671,116.966,0.659,0.575,0.401,0.0,0.089,35.0,https://www.vlr.gg/player/49567/prettymy?timespan=all,0.7,0.7,
KeA,Unicorn Cyber Da Nang,1.078,228.409,1.133,145.46,0.699,0.806,0.205,0.13,0.115,5110.0,https://www.vlr.gg/player/8165/kea?timespan=all,0.7,0.7,
Creamm,Unicorn Cyber Da Nang,0.969,222.076,0.979,145.473,0.653,0.746,0.195,0.123,0.13,707.0,https://www.vlr.gg/player/49564/creamm?timespan=all,0.7,0.7,
Sunshine,TYLOO,0.78,165.589,0.749,105.973,0.643,0.567,0.266,0.086,0.112,1193.0,https://www.vlr.gg/player/14453/sunshine?timespan=all,0.7,0.7,
AC,Chosen Clique Gaming,1.014,197.744,1.039,126.974,0.704,0.708,0.259,0.081,0.084,5180.0,https://www.vlr.gg/player/14445/ac?timespan=all,0.7,0.7,
YuRiHaNa,DRX Changers,0.597,161.703,0.546,108.959,0.542,0.487,0.298,0.083,0.107,37.0,https://www.vlr.gg/player/29289/yurihana?timespan=all,0.7,0.7,
nTK,Team Big BAAM,1.074,214.739,1.134,138.841,0.721,0.756,0.247,0.127,0.103,6055.0,https://www.vlr.gg/player/1432/ntk?timespan=all,0.7,0.7,
P1nA,Team Big BAAM,1.031,191.5,1.02,125.407,0.743,0.69,0.392,0.074,0.068,5681.0,https://www.vlr.gg/player/1431/p1na?timespan=all,0.7,0.7,
Gais,FUT Esports,0.789,158.0,0.873,101.243,0.671,0.614,0.229,0.014,0.086,70.0,https://www.vlr.gg/player/8845/gais?timespan=all,0.7,0.7,
LohaN,Team Liquid,1.032,222.526,1.14,136.938,0.703,0.784,0.179,0.155,0.112,1675.0,https://www.vlr.gg/player/2881/lohan?timespan=all,0.7,0.7,
McJuankar,Gentle Mates,0.579,142.861,0.556,100.753,0.601,0.448,0.25,0.093,0.152,101.0,https://www.vlr.gg/player/2600/mcjuankar?timespan=all,0.7,0.7,
free1ng,DRX,1.128,215.839,1.168,141.751,0.72,0.764,0.214,0.105,0.083,2839.0,https://www.vlr.gg/player/1916/freeing?timespan=all,0.7,0.7,
aco,ZETA DIVISION GC,0.937,181.932,0.908,116.031,0.73,0.631,0.417,0.074,0.084,2050.0,https://www.vlr.gg/player/29316/aco?timespan=all,0.7,0.7,
vapen,Shopify Rebellion Black,0.716,149.465,0.662,102.072,0.647,0.48,0.374,0.03,0.076,185.0,https://www.vlr.gg/player/8754/vapen?timespan=all,0.7,0.7,
XXiF,TSM,1.162,224.898,1.253,146.602,0.746,0.791,0.248,0.118,0.081,12505.0,https://www.vlr.gg/player/1023/xxif?timespan=all,0.7,0.7,
Sand,The Ultimates,1.109,212.656,1.198,140.924,0.731,0.766,0.21,0.09,0.078,9885.0,https://www.vlr.gg/player/6503/sand?timespan=all,0.7,0.7,
rezy,Al-Qadsiah Esports,0.927,176.491,0.884,116.988,0.711,0.619,0.34,0.063,0.077,8717.0,https://www.vlr.gg/player/11914/rezy?timespan=all,0.7,0.7,
Psilence,NOBLES,0.925,215.744,0.943,140.549,0.668,0.737,0.195,0.178,0.179,1979.0,https://www.vlr.gg/player/46250/sogeking?timespan=all,0.7,0.7,
stkJ,LOUD,0.708,147.44,0.714,94.88,0.588,0.54,0.128,0.06,0.142,80.0,https://www.vlr.gg/player/5709/stkj?timespan=all,0.7,0.7,
Gorilla,KOI,0.683,136.946,0.599,90.951,0.61,0.448,0.315,0.029,0.078,652.0,https://www.vlr.gg/player/8815/gorilla?timespan=all,0.7,0.7,
temoc,KOI,0.886,163.554,0.848,108.862,0.69,0.558,0.297,0.057,0.07,1547.0,https://www.vlr.gg/player/3738/temoc?timespan=all,0.7,0.7,
Sinaway,Next Gen,1.079,215.202,1.148,142.357,0.713,0.773,0.237,0.085,0.079,4336.0,https://www.vlr.gg/player/29821/sinaway?timespan=all,0.7,0.7,
BiggieCheese,Next Gen,1.043,207.487,1.04,135.823,0.736,0.715,0.375,0.098,0.093,4238.0,https://www.vlr.gg/player/31255/bige?timespan=all,0.7,0.7,
Rudi,100 Thieves,1.007,201.266,0.99,132.78,0.715,0.699,0.32,0.102,0.111,4148.0,https://www.vlr.gg/player/16045/rudi?timespan=all,0.7,0.7,
potter,Evil Geniuses,0.819,155.453,0.819,102.189,0.687,0.538,0.288,0.05,0.07,2438.0,https://www.vlr.gg/player/3104/potter?timespan=all,0.7,0.7,
シガレット,APAY Academy,1.098,218.128,1.121,146.76,0.597,0.725,0.342,0.064,0.06,47.0,https://www.vlr.gg/player/49541/?timespan=all,0.7,0.7,
Yatoo,APAY eSports,0.895,180.428,0.83,120.647,0.679,0.604,0.286,0.053,0.041,258.0,https://www.vlr.gg/player/21826/yatoo?timespan=all,0.7,0.7,
marqnue,BBL Esports,0.672,167.947,0.805,109.699,0.625,0.574,0.207,0.063,0.093,1231.0,https://www.vlr.gg/player/1400/marqnue?timespan=all,0.7,0.7,
ACHRF,Onyx Ravens,1.09,212.446,1.061,142.024,0.743,0.724,0.376,0.084,0.08,7258.0,https://www.vlr.gg/player/12333/achrf?timespan=all,0.7,0.7,
JinNy,Ambitious Legend Gaming GC,1.102,179.805,1.012,116.453,0.768,0.641,0.366,0.051,0.053,8017.0,https://www.vlr.gg/player/1909/jinny?timespan=all,0.7,0.7,
Muffyn,Ambitious Legend Gaming GC,1.16,253.512,1.255,158.663,0.738,0.869,0.227,0.202,0.15,5467.0,https://www.vlr.gg/player/13232/muffyn?timespan=all,0.7,0.7,
JoshRT,G2 Esports,0.946,194.266,0.918,122.101,0.748,0.669,0.313,0.081,0.084,2351.0,https://www.vlr.gg/player/52/joshrt?timespan=all,0.7,0.7,
ZiXuan,Rare Atom,1.019,200.215,1.005,125.274,0.716,0.698,0.375,0.075,0.093,1131.0,https://www.vlr.gg/player/4763/zixuan?timespan=all,0.7,0.7,
Qlove,Blue Eyes White Dragon,0.876,181.673,0.913,117.426,0.684,0.638,0.144,0.064,0.09,113.0,https://www.vlr.gg/player/48694/finestqueue?timespan=all,0.7,0.7,
Pr1ck,Blue Eyes White Dragon,0.917,189.037,0.902,122.182,0.679,0.656,0.308,0.101,0.146,1021.0,https://www.vlr.gg/player/48695/pricckk?timespan=all,0.7,0.7,
eva,GIANTX GC,1.209,214.373,1.326,140.615,0.782,0.793,0.284,0.061,0.048,5579.0,https://www.vlr.gg/player/19371/eva?timespan=all,0.7,0.7,
kaplan,Sentinels,1.131,166.865,0.878,110.622,0.845,0.57,0.301,0.067,0.047,1068.0,https://www.vlr.gg/player/757/kaplan?timespan=all,0.7,0.7,
Century,EDward Gaming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.vlr.gg/player/48859/century?timespan=all,0.7,0.7,
bonkar,NRG Esports,0.902,159.455,0.861,104.859,0.731,0.547,0.369,0.053,0.06,6494.0,https://www.vlr.gg/player/7/bonkar?timespan=all,0.7,0.7,
marin,REVE RISE MAX,1.105,220.756,1.123,139.529,0.723,0.765,0.253,0.128,0.129,4845.0,https://www.vlr.gg/player/1027/marin?timespan=all,0.7,0.7,
RIPablo,IGZIST,0.963,176.571,0.951,112.746,0.735,0.632,0.346,0.064,0.068,4710.0,https://www.vlr.gg/player/1973/ripablo?timespan=all,0.7,0.7,
Jovi,TALON,1.022,195.751,1.031,129.123,0.711,0.681,0.316,0.067,0.09,459.0,https://www.vlr.gg/player/6570/jovi?timespan=all,0.7,0.7,
romily,KRÜ BLAZE,1.188,230.55,1.369,150.024,0.766,0.826,0.233,0.123,0.087,4196.0,https://www.vlr.gg/player/18982/romily?timespan=all,0.7,0.7,
Biscoit1n,MIBR Academy,0.973,213.695,0.994,130.539,0.66,0.74,0.208,0.163,0.159,3061.0,https://www.vlr.gg/player/3387/biscoit1n?timespan=all,0.7,0.7,
theia,FlyQuest RED,1.0,186.468,0.997,120.398,0.723,0.654,0.314,0.092,0.089,9005.0,https://www.vlr.gg/player/17/theia?timespan=all,0.7,0.7,
evv,YFP X,1.07,211.604,1.129,137.217,0.746,0.753,0.317,0.093,0.081,8070.0,https://www.vlr.gg/player/33694/evv?timespan=all,0.7,0.7,
Cinjvv,IHC Esports,1.051,219.144,1.087,148.507,0.683,0.773,0.214,0.098,0.088,1314.0,https://www.vlr.gg/player/40890/chinjvv?timespan=all,0.7,0.7,
KADIRI,Next Gen,1.206,251.874,1.279,165.516,0.737,0.9,0.19,0.157,0.104,2249.0,https://www.vlr.gg/player/43125/kadiri?timespan=all,0.7,0.7,
ValdyN,Alter Ego,1.038,205.68,1.03,133.792,0.734,0.726,0.348,0.092,0.089,4117.0,https://www.vlr.gg/player/7807/valdyn?timespan=all,0.7,0.7,
ray4c,Alter Ego,0.978,232.505,1.003,144.945,0.715,0.769,0.257,0.161,0.175,4566.0,https://www.vlr.gg/player/11666/ray4c?timespan=all,0.7,0.7,
Asteriskk,Alter Ego,1.002,187.081,1.032,115.588,0.734,0.668,0.332,0.075,0.072,5691.0,https://www.vlr.gg/player/1742/asteriskk?timespan=all,0.7,0.7,
Akira,Royal Legion,0.687,160.802,0.634,108.279,0.619,0.529,0.352,0.092,0.171,201.0,https://www.vlr.gg/player/42323/akira?timespan=all,0.7,0.7,
laser,NXT,1.076,236.766,1.09,153.656,0.666,0.827,0.189,0.183,0.177,934.0,https://www.vlr.gg/player/23421/lsr?timespan=all,0.7,0.7,
DeadInk,Fenerbahçe Esports,0.98,212.994,1.012,135.347,0.692,0.74,0.191,0.15,0.14,7586.0,https://www.vlr.gg/player/5564/deadink?timespan=all,0.7,0.7,
cacan,Fenerbahçe Esports,0.974,201.053,1.01,130.275,0.695,0.707,0.218,0.1,0.097,5927.0,https://www.vlr.gg/player/5563/cacan?timespan=all,0.7,0.7,
LightNinG,Coalesce,0.975,201.433,0.947,133.268,0.689,0.695,0.276,0.106,0.124,1276.0,https://www.vlr.gg/player/38426/lightning?timespan=all,0.7,0.7,
Soggy,FAWZ Purple,0.914,165.921,0.885,109.663,0.702,0.591,0.32,0.052,0.056,510.0,https://www.vlr.gg/player/44119/soggy?timespan=all,0.7,0.7,
Supp,FAWZ Purple,0.734,171.192,0.755,117.364,0.64,0.59,0.216,0.093,0.185,634.0,https://www.vlr.gg/player/44356/supp?timespan=all,0.7,0.7,
Ancient,FAWZ Purple,1.055,199.54,1.02,131.309,0.688,0.734,0.282,0.088,0.072,564.0,https://www.vlr.gg/player/47488/ancient?timespan=all,0.7,0.7,
Kolby,FAWZ Purple,1.001,213.58,1.01,143.275,0.713,0.716,0.348,0.143,0.127,247.0,https://www.vlr.gg/player/47515/kolby?timespan=all,0.7,0.7,
Healing,DRX Changers,0.978,209.006,0.957,130.738,0.716,0.694,0.391,0.125,0.119,1878.0,https://www.vlr.gg/player/29299/healing?timespan=all,0.7,0.7,
eyan,ROSE,1.09,230.956,1.098,155.843,0.707,0.815,0.285,0.12,0.104,3487.0,https://www.vlr.gg/player/28316/eyan?timespan=all,0.7,0.7,
chapix,Lilmix,1.328,272.442,1.488,166.788,0.785,0.937,0.309,0.218,0.133,513.0,https://www.vlr.gg/player/47926/chapix?timespan=all,0.7,0.7,
speedy,Lilmix,1.016,225.793,1.018,145.883,0.688,0.762,0.252,0.139,0.141,1053.0,https://www.vlr.gg/player/16421/speedy?timespan=all,0.7,0.7,
W1LL,EXO Clan,0.946,179.127,0.933,118.551,0.701,0.638,0.254,0.075,0.062,2042.0,https://www.vlr.gg/player/24426/w1ll?timespan=all,0.7,0.7,
mezoky,EXO Clan,1.059,202.297,1.083,137.344,0.714,0.715,0.264,0.081,0.075,2204.0,https://www.vlr.gg/player/9943/mezoky?timespan=all,0.7,0.7,
sakura,NIX VISION,0.964,198.912,0.996,130.13,0.7,0.711,0.232,0.093,0.104,1435.0,https://www.vlr.gg/player/25279/sakura?timespan=all,0.7,0.7,
JdFaker,Paper Rex,1.037,187.021,1.0,119.389,0.762,0.643,0.338,0.058,0.055,4723.0,https://www.vlr.gg/player/2364/jdfaker?timespan=all,0.7,0.7,
Koyo,Papara SuperMassive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.vlr.gg/player/8741/koyo?timespan=all,0.7,0.7,
MerSa,Digital Athletics,0.987,175.117,0.916,112.332,0.739,0.611,0.435,0.057,0.067,5631.0,https://www.vlr.gg/player/4892/mersa?timespan=all,0.7,0.7,
KILICARSLAN,Digital Athletics,0.936,196.302,0.939,127.596,0.7,0.676,0.243,0.103,0.102,1193.0,https://www.vlr.gg/player/7974/kilicarslan?timespan=all,0.7,0.7,
Septem7,All Gamers,0.861,168.447,0.805,117.302,0.702,0.576,0.309,0.072,0.121,1267.0,https://www.vlr.gg/player/3031/septem7?timespan=all,0.7,0.7,
UR,REIGNITE Lily,1.128,209.554,1.142,137.268,0.728,0.742,0.371,0.086,0.072,1423.0,https://www.vlr.gg/player/39902/ur?timespan=all,0.7,0.7,
